Dataset,Model,Batch,Optim,LR,Train Acc,Val Acc,Test Acc
FashionMNIST,resnet50,16,SGD,0.001,88.99183673469388,87.74285714285715,87.95714285714286
FashionMNIST,resnet50,16,SGD,0.0001,83.83265306122449,83.01428571428572,82.49285714285715
FashionMNIST,resnet50,16,Adam,0.001,86.46326530612245,86.31428571428572,86.42142857142858
FashionMNIST,resnet50,16,Adam,0.0001,88.57142857142857,86.6,86.04285714285714
FashionMNIST,resnet50,32,SGD,0.001,88.62040816326531,86.27142857142857,86.82142857142857
FashionMNIST,resnet50,32,SGD,0.0001,81.95714285714286,81.6,80.21428571428571
FashionMNIST,resnet50,32,Adam,0.001,87.99183673469388,87.12857142857143,87.03571428571429
FashionMNIST,resnet50,32,Adam,0.0001,89.39183673469388,85.77142857142857,85.12142857142857
