Dataset,Model,Batch,Optim,LR,Train Acc,Val Acc,Test Acc
MNIST,resnet18,16,SGD,0.001,99.57755102040817,98.71428571428571,98.81428571428572
MNIST,resnet18,16,SGD,0.0001,99.37142857142857,98.54285714285714,98.26428571428572
MNIST,resnet18,16,Adam,0.001,99.11632653061224,98.67142857142858,98.85
MNIST,resnet18,16,Adam,0.0001,98.96326530612245,98.2,98.07857142857142
MNIST,resnet18,32,SGD,0.001,99.71020408163265,98.78571428571429,98.92857142857143
MNIST,resnet18,32,SGD,0.0001,98.82040816326531,97.75714285714285,97.59285714285714
MNIST,resnet18,32,Adam,0.001,99.01224489795918,98.4,98.72142857142858
MNIST,resnet18,32,Adam,0.0001,99.47755102040816,98.27142857142857,98.55714285714286
