Dataset,Model,Batch,Optim,LR,Train Acc,Val Acc,Test Acc
FashionMNIST,resnet18,16,SGD,0.001,92.32448979591837,89.52857142857142,90.2
FashionMNIST,resnet18,16,SGD,0.0001,91.04081632653062,88.25714285714285,88.25714285714285
FashionMNIST,resnet18,16,Adam,0.001,89.97551020408163,88.9,88.88571428571429
FashionMNIST,resnet18,16,Adam,0.0001,92.09183673469387,89.41428571428571,89.22857142857143
FashionMNIST,resnet18,32,SGD,0.001,91.48775510204082,88.74285714285715,88.37857142857143
FashionMNIST,resnet18,32,SGD,0.0001,90.62040816326531,87.17142857142858,87.73571428571428
FashionMNIST,resnet18,32,Adam,0.001,90.83877551020409,89.92857142857143,89.39285714285714
FashionMNIST,resnet18,32,Adam,0.0001,92.80408163265307,88.91428571428571,89.16428571428571
