Dataset,Kernel,Accuracy,Time_ms
MNIST,rbf,97.85000000000001,163566.95461273193
MNIST,poly,98.25,105366.59073829651
FashionMNIST,rbf,88.52142857142857,236393.35370063782
FashionMNIST,poly,89.34285714285714,195064.0745162964
