Compute,Batch Size,Optimizer,Learning Rate,resnet18 Acc (%),resnet32 Acc (%),resnet50 Acc (%),resnet18 Time (ms),resnet32 Time (ms),resnet50 Time (ms),resnet18 FLOPs (G),resnet32 FLOPs (G),resnet50 FLOPs (G)
CPU,16,SGD,0.001,88.2,89.25714285714285,85.18571428571428,638715.8420085907,741592.5500392914,1800460.5722427368,0.03561472,0.070091392,0.082737152
CPU,16,Adam,0.001,88.99285714285715,89.21428571428571,84.47142857142858,855215.2712345123,744993.6852455139,2019985.6679439545,0.03561472,0.070091392,0.082737152
CUDA,16,SGD,0.001,88.83571428571429,90.25,86.4,123926.94211006165,149279.85310554504,214193.92442703247,0.03561472,0.070091392,0.082737152
CUDA,16,Adam,0.001,88.12142857142857,89.65,80.61428571428571,136046.204328537,153515.82312583923,239548.68030548096,0.03561472,0.070091392,0.082737152
