Dataset,Model,Batch,Optim,LR,Train Acc,Val Acc,Test Acc
MNIST,resnet50,16,SGD,0.001,99.01428571428572,98.41428571428571,98.22142857142858
MNIST,resnet50,16,SGD,0.0001,98.09591836734694,97.32857142857142,97.12857142857143
MNIST,resnet50,16,Adam,0.001,98.42040816326531,98.07142857142857,98.09285714285714
MNIST,resnet50,16,Adam,0.0001,98.67755102040816,97.42857142857143,97.72142857142858
MNIST,resnet50,32,SGD,0.001,99.34489795918367,98.42857142857143,98.36428571428571
MNIST,resnet50,32,SGD,0.0001,96.22857142857143,94.9,95.02142857142857
MNIST,resnet50,32,Adam,0.001,98.65510204081633,98.35714285714286,98.15
MNIST,resnet50,32,Adam,0.0001,98.66530612244898,96.67142857142858,96.71428571428571
